observation_id,bird_id,area_id,species_count,made_sound,camera,observation_date
1,210,46,7,FALSE,Panasonic,2021-02-11
1,17,65,7,FALSE,Canon,2021-02-11
1,178,24,7,TRUE,Canon,2021-02-11
1,144,189,4,FALSE,Nikon,2021-02-11
1,169,123,6,TRUE,Nikon,2021-02-11
1,144,32,2,FALSE,Canon,2021-02-11
1,5,47,4,TRUE,Canon,2021-02-11
1,38,152,6,TRUE,Nikon,2021-02-11
1,183,6,5,FALSE,Panasonic,2021-02-11
1,82,72,9,FALSE,Canon,2021-02-11
1,50,130,6,TRUE,Nikon,2021-02-11
1,123,106,4,TRUE,Nikon,2021-02-11
1,66,144,5,FALSE,Canon,2021-02-11
1,78,61,8,TRUE,Sony,2021-02-11
1,89,180,3,TRUE,Phone,2021-02-11
2,79,139,5,TRUE,Nikon,2018-11-25
2,82,129,7,TRUE,Nikon,2018-11-25
2,169,125,9,TRUE,Nikon,2018-11-25
2,73,38,2,TRUE,Canon,2018-11-25
2,46,39,3,TRUE,Phone,2018-11-25
2,39,157,9,FALSE,Canon,2018-11-25
2,181,140,3,FALSE,None,2018-11-25
2,27,67,10,FALSE,Panasonic,2018-11-25
2,33,170,2,TRUE,Nikon,2018-11-25
2,138,123,7,FALSE,Canon,2018-11-25
2,162,146,9,TRUE,Canon,2018-11-25
2,110,18,7,TRUE,Sony,2018-11-25
2,202,95,3,FALSE,Panasonic,2018-11-25
2,35,33,6,TRUE,Panasonic,2018-11-25
2,120,189,10,FALSE,None,2018-11-25
2,210,46,11,FALSE,Canon,2018-11-25
2,3,189,5,FALSE,Nikon,2018-11-25
2,201,176,4,FALSE,Canon,2018-11-25
2,200,42,8,TRUE,Canon,2018-11-25
2,107,132,4,TRUE,Canon,2018-11-25
2,61,82,7,FALSE,Panasonic,2018-11-25
2,174,121,5,FALSE,Panasonic,2018-11-25
2,24,106,11,TRUE,Nikon,2018-11-25
2,117,98,3,TRUE,Nikon,2018-11-25
2,157,70,8,TRUE,Nikon,2018-11-25
2,94,44,4,TRUE,Nikon,2018-11-25
2,45,139,1,TRUE,Sony,2018-11-25
3,179,108,10,FALSE,None,2020-11-15
3,62,5,4,TRUE,Sony,2020-11-15
3,147,90,1,FALSE,Panasonic,2020-11-15
3,140,90,7,FALSE,Panasonic,2020-11-15
3,65,144,11,TRUE,Phone,2020-11-15
3,172,127,1,TRUE,Nikon,2020-11-15
3,36,83,11,FALSE,Canon,2020-11-15
3,204,25,2,FALSE,None,2020-11-15
3,20,158,6,FALSE,Canon,2020-11-15
3,205,188,10,FALSE,Nikon,2020-11-15
3,19,178,7,FALSE,Nikon,2020-11-15
3,212,172,8,FALSE,Nikon,2020-11-15
3,48,61,5,TRUE,Nikon,2020-11-15
3,142,147,7,TRUE,Nikon,2020-11-15
3,102,110,8,FALSE,Panasonic,2020-11-15
3,147,7,6,FALSE,None,2020-11-15
3,85,20,11,TRUE,Sony,2020-11-15
3,136,49,4,TRUE,Nikon,2020-11-15
3,131,12,2,FALSE,None,2020-11-15
3,68,83,6,TRUE,Nikon,2020-11-15
3,161,133,4,TRUE,Canon,2020-11-15
3,203,5,9,TRUE,Canon,2020-11-15
3,42,31,9,TRUE,Canon,2020-11-15
3,54,141,6,FALSE,Nikon,2020-11-15
3,81,36,3,FALSE,Canon,2020-11-15
3,196,101,1,FALSE,Canon,2020-11-15
3,97,179,4,TRUE,Phone,2020-11-15
3,98,135,4,TRUE,Nikon,2020-11-15
4,65,190,4,FALSE,None,2017-04-26
4,126,180,9,FALSE,None,2017-04-26
4,44,50,10,TRUE,Phone,2017-04-26
4,118,76,8,FALSE,Nikon,2017-04-26
4,109,87,3,TRUE,Phone,2017-04-26
4,192,103,9,TRUE,Phone,2017-04-26
4,95,177,8,FALSE,None,2017-04-26
4,101,113,8,FALSE,Canon,2017-04-26
4,130,79,4,FALSE,None,2017-04-26
4,183,92,3,TRUE,Canon,2017-04-26
4,57,93,9,FALSE,Canon,2017-04-26
4,100,106,6,FALSE,Canon,2017-04-26
4,81,10,1,TRUE,Nikon,2017-04-26
4,155,101,2,FALSE,Nikon,2017-04-26
4,87,158,10,TRUE,Nikon,2017-04-26
4,177,120,10,FALSE,Panasonic,2017-04-26
4,100,155,6,FALSE,Nikon,2017-04-26
4,66,159,5,TRUE,Phone,2017-04-26
4,112,100,10,FALSE,Canon,2017-04-26
4,129,184,4,FALSE,None,2017-04-26
4,164,8,11,TRUE,Nikon,2017-04-26
4,77,87,11,TRUE,Phone,2017-04-26
4,20,86,10,TRUE,Canon,2017-04-26
4,155,175,8,FALSE,None,2017-04-26
4,79,60,11,TRUE,Canon,2017-04-26
5,195,113,4,TRUE,Nikon,2017-04-14
5,176,61,3,TRUE,Nikon,2017-04-14
5,24,21,8,TRUE,Sony,2017-04-14
5,135,82,10,FALSE,Panasonic,2017-04-14
5,131,151,8,TRUE,Nikon,2017-04-14
5,30,143,8,TRUE,Phone,2017-04-14
5,116,70,2,TRUE,Phone,2017-04-14
5,98,24,7,FALSE,Nikon,2017-04-14
5,129,99,6,TRUE,Nikon,2017-04-14
5,214,78,7,TRUE,Canon,2017-04-14
5,20,76,6,TRUE,Nikon,2017-04-14
5,16,65,3,FALSE,Canon,2017-04-14
5,148,147,10,TRUE,Phone,2017-04-14
5,8,13,10,TRUE,Phone,2017-04-14
5,52,69,1,TRUE,Nikon,2017-04-14
5,122,161,9,TRUE,Nikon,2017-04-14
5,54,117,9,FALSE,Canon,2017-04-14
5,52,169,8,FALSE,None,2017-04-14
5,71,98,7,TRUE,Nikon,2017-04-14
6,179,55,10,FALSE,Canon,2021-10-29
6,205,24,8,TRUE,Nikon,2021-10-29
6,199,41,11,FALSE,Sony,2021-10-29
6,16,119,11,TRUE,Sony,2021-10-29
6,57,109,3,TRUE,Sony,2021-10-29
6,126,83,5,TRUE,Nikon,2021-10-29
6,52,27,2,TRUE,Canon,2021-10-29
